ApprovalFiscalYear,GrossApproval,NaicsCode,InitialInterestRate,BorrState,JobsSupported,LoanStatus
2012,8607700,111421,6.18125,GA,403,PIF
2013,17184100,111421,5.742916667,CA,470,CANCLD
2014,17745700,111421,5.636378378,PA,544,EXEMPT
2015,18233900,111421,6.060769231,CA,273,PIF
2016,14529700,111421,5.868,MN,442,CHGOFF
2017,11513900,111421,6.165909091,CT,432,EXEMPT
2018,20066500,111421,7.058333333,FL,245,EXEMPT
2019,5118900,111421,7.83,CO,145,EXEMPT
2020,4720000,111421,7.767,OH,163,COMMIT
2012,575000,111422,6,NJ,24,EXEMPT
2013,795000,111422,5.5,NC,5,EXEMPT
2014,5033900,111422,5.8125,NY,42,PIF
2015,535000,111422,5.166666667,MA,69,EXEMPT
2016,1116000,111422,6.206666667,ME,70,PIF
2017,521000,111422,7.58,WI,5,EXEMPT
2018,5035000,111422,7.416666667,CA,326,CANCLD
2019,3768000,111422,9.28125,CA,212,EXEMPT
2020,724000,111422,6.996666667,CA,111,EXEMPT
2012,175600,111910,7.456666667,NC,12,PIF
2013,170000,111910,6.855,NC,12,PIF
2015,5000,111910,9.75,VA,3,CHGOFF
2017,209000,111910,6.75,GA,11,EXEMPT
2018,3050000,111910,3.875,SC,11,EXEMPT
2019,2460000,111910,6,SC,6,COMMIT
2015,21000,111920,5,NC,2,PIF
2016,309200,111920,8,MS,4,EXEMPT
2019,1010000,111920,4.625,GA,6,CANCLD
2012,1120000,111940,6.3125,WA,34,PIF
2013,1144800,111940,5.648,MN,33,CANCLD
2014,358000,111940,7.08,KY,3,PIF
2016,1590000,111940,7.055555556,NY,32,COMMIT
2017,256500,111940,6.211111111,IA,21,EXEMPT
2018,936400,111940,8.017777778,PA,11,EXEMPT
2019,247600,111940,7.45,MA,5,EXEMPT
2020,99000,111940,9.875,NY,2,EXEMPT
2013,150000,111991,5.5,MN,5,PIF
2014,117600,111991,4.99,MN,3,PIF
2018,436500,111991,5.625,MN,6,EXEMPT
2014,1189600,111992,6,GA,25,EXEMPT
2018,4933200,111992,6,GA,25,EXEMPT
2012,5273600,111998,5.961428571,MI,131,PIF
2013,1450700,111998,6.0075,ID,48,PIF
2014,12720100,111998,6.035,VT,102,PIF
2015,5440500,111998,5.828709677,WI,112,EXEMPT
2016,10755200,111998,6.497428571,MO,163,PIF
2017,15257100,111998,6.64,AL,219,EXEMPT
2018,6284400,111998,7.498333333,NJ,239,EXEMPT
2019,5021800,111998,8.1975,MS,130,PIF
