ApprovalFiscalYear,GrossApproval,NaicsCode,InitialInterestRate,BorrState,JobsSupported,LoanStatus
2014,3949000,325620,5.718181818,PA,120,PIF
2015,9145240,325620,6.05047619,IA,346,EXEMPT
2016,6102800,325620,7.041111111,MA,109,PIF
2017,5080400,325620,7.244210526,NJ,75,EXEMPT
2018,9201000,325620,7.738888889,TX,198,EXEMPT
2019,11723000,325620,7.929444444,CA,104,EXEMPT
2020,3444700,325620,7.325,AZ,98,EXEMPT
2012,100000,325910,5.75,MI,41,PIF
2013,3030000,325910,5.107142857,NY,155,PIF
2014,1479800,325910,5.5625,GA,49,EXEMPT
2015,2400600,325910,6.38,CA,107,CHGOFF
2017,595000,325910,7.125,TX,9,COMMIT
2018,1410000,325910,6,IN,60,EXEMPT
2019,1200000,325910,7.333333333,NJ,65,EXEMPT
2020,144000,325910,7.5,PR,2,EXEMPT
2013,25000,325920,5.5,NY,0,PIF
2019,1000000,325920,7.5,OK,16,CANCLD
2012,1852000,325991,5.655,VA,9,PIF
2013,4006200,325991,5.586666667,TX,179,PIF
2014,1580000,325991,6.8125,MI,90,PIF
2015,1322300,325991,5.375,CA,9,PIF
2016,327000,325991,5.833333333,AL,9,PIF
2017,125600,325991,6.433333333,MI,10,EXEMPT
2018,1776400,325991,7.166666667,GA,67,EXEMPT
2012,2908200,325992,6.007142857,MT,304,PIF
2013,350000,325992,5.24,CA,48,PIF
2014,510000,325992,5.75,TX,56,PIF
2015,75000,325992,4.65,IL,1,PIF
2016,79000,325992,5.25,NY,10,PIF
2018,15000,325992,8.97,AZ,4,EXEMPT
2019,3204000,325992,6.25,SC,21,EXEMPT
2012,3501600,325998,6.041666667,KY,166,PIF
2013,13681700,325998,5.931,FL,428,PIF
2014,13915565,325998,5.39375,FL,201,PIF
2015,14724900,325998,6.4775,GA,204,EXEMPT
2016,13769935,325998,5.6975,MO,233,EXEMPT
2017,8192700,325998,6.390933333,TX,200,CANCLD
2018,14325900,325998,7.196428571,CA,130,EXEMPT
2019,9920800,325998,6.73,IN,288,EXEMPT
2020,5913800,325998,6.5,NY,113,COMMIT
2012,4507000,326111,6.066666667,IN,78,PIF
2013,13684500,326111,6.097272727,TX,538,CHGOFF
2014,4579000,326111,5.472222222,IL,48,CANCLD
2015,2556200,326111,5.816666667,WI,61,PIF
2016,3697800,326111,5.137142857,TX,86,EXEMPT
2017,963400,326111,6.448,NY,29,EXEMPT
2018,858700,326111,8.8,HI,36,EXEMPT
2019,6096500,326111,7.816666667,TX,50,COMMIT
2020,32000,326111,7,NY,4,EXEMPT
2012,7170000,326112,5.275,NC,224,PIF
2013,367500,326112,5.75,MA,2,PIF
2014,5682368,326112,6.05,WI,105,EXEMPT
2015,2020000,326112,5.998,CA,65,CHGOFF
2016,1225000,326112,5.4125,OH,28,PIF
2017,1611000,326112,5.058,MA,16,EXEMPT
2018,1025000,326112,7.248333333,MI,26,EXEMPT
2019,4560000,326112,7.4,TX,48,EXEMPT
2012,235000,326113,5.625,TX,9,PIF
2013,1195000,326113,5.25,PA,18,PIF
2014,1450000,326113,6,OH,86,PIF
2015,11534000,326113,5.583333333,OR,165,PIF
2017,450000,326113,4.985,SC,12,EXEMPT
2018,50000,326113,8.4,CA,0,EXEMPT
2020,350000,326113,7.2,AZ,4,EXEMPT
2012,750000,326121,7.146666667,DE,84,PIF
2013,1516100,326121,5.166666667,TX,158,PIF
2014,4444000,326121,5.396,ND,77,CANCLD
2015,3200000,326121,5.166666667,NY,330,PIF
2016,1993600,326121,5.8125,LA,105,EXEMPT
2017,3236200,326121,6.087875,OR,63,EXEMPT
2018,1325000,326121,6.125,PA,1,EXEMPT
2019,700000,326121,7.333333333,CA,13,EXEMPT
2012,4734000,326122,5.22,IL,294,PIF
2013,2200000,326122,5.003333333,TX,11,PIF
2014,796500,326122,5.15,WI,111,CANCLD
2015,8105500,326122,5.825,NY,152,CANCLD
2018,2820200,326122,6.583333333,KS,61,CANCLD
2019,3637300,326122,7.8125,MI,4,EXEMPT
2020,5000000,326122,6.75,IL,50,COMMIT
2012,1022000,326130,6.5,MI,43,CHGOFF
2013,3859500,326130,6.195,MI,165,CANCLD
2014,2261900,326130,5.23625,NV,96,PIF
2015,3105000,326130,5.784285714,CA,108,PIF
2016,1210500,326130,5.5,CO,21,EXEMPT
2017,902900,326130,5.9525,WI,50,EXEMPT
2018,175000,326130,7.375,OR,3,EXEMPT
2019,1565000,326130,7.5,AR,28,EXEMPT
2020,150000,326130,6.25,OK,1,EXEMPT
2012,4068000,326140,6.291666667,IN,124,COMMIT
2013,6869500,326140,5.133333333,WI,161,PIF
2014,250000,326140,5.6,GA,0,PIF
2015,2838200,326140,5.16,MO,60,EXEMPT
2016,375000,326140,5.875,MN,16,EXEMPT
2017,51500,326140,6.25,OH,15,EXEMPT
2018,2793100,326140,5.5,CA,7,EXEMPT
2020,2000000,326140,6.5,CA,42,EXEMPT
2012,678000,326150,6.866666667,UT,12,PIF
2013,2750000,326150,5.935,UT,94,PIF
2014,5800000,326150,6.306666667,PA,270,PIF
2015,1505000,326150,5.5,IN,20,PIF
2016,2247000,326150,5.066666667,CA,120,EXEMPT
2017,5989500,326150,6.046666667,OH,85,EXEMPT
2018,3041000,326150,5.282,CA,97,EXEMPT
2019,563000,326150,8,IN,6,EXEMPT
2020,450000,326150,7.87,MI,7,EXEMPT
2012,2601300,326160,5.3975,TX,65,PIF
2013,825000,326160,5.6725,CA,75,EXEMPT
2014,2615000,326160,5.375,AK,46,EXEMPT
2015,1743200,326160,6.45,CA,41,PIF
2016,8120400,326160,5.3,CA,140,PIF
2017,4700000,326160,5.75,IL,51,PIF
2018,3600000,326160,6.5,SD,44,EXEMPT
2019,4526000,326160,9.048,VA,101,EXEMPT
2012,2600000,326191,5.163333333,FL,294,PIF
2014,1332000,326191,6.666666667,TX,4,PIF
2015,206200,326191,6.916666667,PA,35,CANCLD
2016,1060000,326191,5.14,VA,3,EXEMPT
2017,652500,326191,7.1875,OR,21,CANCLD
2018,313100,326191,7.833333333,CA,69,PIF
2019,746400,326191,7.233333333,NE,14,CANCLD
2020,375000,326191,7.375,OR,8,EXEMPT
2012,150000,326192,7,AR,16,PIF
2012,53142600,326199,5.658222222,WI,3197,CANCLD
2013,73826200,326199,5.532965909,UT,1897,PIF
2014,67317959,326199,5.446137255,PA,2646,CANCLD
2015,53309900,326199,5.532268041,CA,2025,EXEMPT
2016,48153300,326199,5.564185185,AZ,1484,CANCLD
2017,43315900,326199,6.184905405,IN,1068,EXEMPT
2018,53800700,326199,6.67617284,PA,1411,EXEMPT
2019,38942700,326199,7.029148936,CO,867,EXEMPT
2020,22097600,326199,6.6888,SD,375,CANCLD
2014,300000,326211,4.75,PA,10,PIF
2016,54600,326211,7.68,TX,10,EXEMPT
2017,150000,326211,6.25,TX,1,EXEMPT
2019,150000,326211,2.75,WY,0,CANCLD
2012,3074700,326212,6.7,OH,47,PIF
2015,1185000,326212,5.566666667,LA,33,CANCLD
2016,265000,326212,7.2075,MN,20,CANCLD
2017,10000,326212,8.97,TX,3,EXEMPT
2020,236500,326212,7.62,UT,6,COMMIT
2012,2841000,326220,5.4375,MN,60,PIF
2013,1650000,326220,5.25,OK,11,PIF
2014,1625800,326220,5.725,OH,42,CANCLD
2015,5845100,326220,5.371666667,NY,176,PIF
2016,4590000,326220,5.416666667,OK,111,EXEMPT
2017,10000,326220,10,CA,0,PIF
2018,4832000,326220,7.15,OH,31,EXEMPT
2019,3525000,326220,7.45,OH,157,EXEMPT
2020,144200,326220,6.5,PA,8,COMMIT
2013,208000,326291,5.25,MN,9,EXEMPT
2014,559300,326291,5.045,TX,5,PIF
2015,800000,326291,5,GA,25,PIF
2016,7600000,326291,5.083333333,IN,323,EXEMPT
2017,750000,326291,5.5,CA,13,PIF
2018,155000,326291,8.645,SC,4,EXEMPT
2019,150000,326291,8,NY,2,EXEMPT
2012,5050000,326299,5.28125,PA,108,EXEMPT
2013,13577100,326299,5.88125,MN,247,PIF
2014,775000,326299,5.416666667,NY,29,PIF
2015,4229000,326299,5.70375,OH,130,PIF
2016,11539700,326299,6.715,NY,245,EXEMPT
2017,8549100,326299,6.233333333,TX,123,EXEMPT
2018,7417800,326299,5.972666667,WA,112,EXEMPT
2019,5555000,326299,6.15,IN,59,EXEMPT
2020,6838100,326299,6.21875,MO,134,EXEMPT
2013,5042000,327110,6.05,SC,36,PIF
2014,1734300,327110,6.571428571,FL,95,EXEMPT
2015,2317500,327110,7.4,MA,61,PIF
2016,2369300,327110,7.214285714,NC,52,EXEMPT
2017,768000,327110,6.53,MA,18,CANCLD
2018,1369800,327110,7.336,NC,66,COMMIT
2019,1419400,327110,6.55,WV,1,EXEMPT
2020,3787000,327110,6.31,NJ,44,EXEMPT
2012,3500000,327111,6,IN,136,EXEMPT
2012,459600,327112,6.905555556,MN,30,CANCLD
2013,142500,327112,6.875,MA,9,CANCLD
2013,25000,327120,9.75,PR,4,PIF
2014,60000,327120,7.75,AZ,3,EXEMPT
2015,7000,327120,6,OH,0,CANCLD
2016,8569000,327120,6.32,GA,121,EXEMPT
2017,4716000,327120,5.8125,CA,37,PIF
2018,436400,327120,6.125,NY,2,EXEMPT
2019,2948000,327120,8.375,TX,52,EXEMPT
2012,1100000,327121,6,MD,129,PIF
2012,10000,327122,6,MN,1,CANCLD
2013,931700,327122,5.375,CA,53,PIF
2012,20000,327123,5.75,MA,10,PIF
2012,1666000,327125,5.25,OH,86,EXEMPT
2013,145000,327125,4.75,OH,38,EXEMPT
2012,298700,327211,8.516666667,RI,17,EXEMPT
2013,1435000,327211,4.9,MA,4,EXEMPT
2014,1375000,327211,6.095,TX,41,EXEMPT
2015,6575325,327211,5.857142857,CA,428,EXEMPT
2016,575000,327211,6.086,CA,55,EXEMPT
2017,3350000,327211,6.625,NY,19,EXEMPT
2018,2103500,327211,6.642857143,AR,278,PIF
2019,2677500,327211,7.303,FL,70,EXEMPT
2020,2105000,327211,6.916666667,MO,32,EXEMPT
2012,3187300,327212,5.61,CA,14,PIF
2013,4023000,327212,7.026,CA,9,PIF
2014,75000,327212,7.375,PA,2,PIF
2015,232400,327212,6.9,OR,42,PIF
2016,1001600,327212,6.857142857,AL,42,PIF
2017,455000,327212,6.7125,CA,10,PIF
2018,90000,327212,9.75,NJ,7,CANCLD
2019,61000,327212,7.495,OH,19,EXEMPT
2020,50000,327212,8.5,MD,5,EXEMPT
2012,40000,327213,9.25,CA,1,PIF
2013,50000,327213,9.75,PR,2,PIF
2015,265000,327213,6.875,NY,22,CANCLD
2016,150000,327213,7.025,PR,11,EXEMPT
2017,5000,327213,9.25,CA,0,EXEMPT
2018,10000,327213,11.5,CA,0,CHGOFF
2019,2631800,327213,9.833333333,NJ,78,EXEMPT
2012,5170900,327215,5.980555556,CA,327,PIF
2013,3843000,327215,6.49,PA,149,PIF
2014,7989000,327215,6.020909091,WA,255,EXEMPT
2015,3313500,327215,6.2,NY,142,PIF
2016,3241500,327215,6.6,MS,71,EXEMPT
2017,5559800,327215,6.84,PA,151,EXEMPT
2018,4455000,327215,8.168461538,PR,60,PIF
2019,7565400,327215,7.78,NJ,201,EXEMPT
2020,995000,327215,7.698,MI,48,EXEMPT
2012,2826800,327310,5.625,IA,163,PIF
2013,3437800,327310,5.083333333,WA,28,CANCLD
2014,305600,327310,3.25,UT,5,EXEMPT
2016,1920000,327310,5.616,AZ,80,EXEMPT
2017,6563000,327310,5.6925,NH,113,EXEMPT
2018,2230000,327310,6.666666667,IL,16,EXEMPT
2020,1672800,327310,7.375,SC,30,EXEMPT
2012,18900100,327320,5.9368,OK,423,EXEMPT
2013,12707300,327320,5.248666667,OK,662,PIF
2014,18829982,327320,5.490909091,OK,241,PIF
2015,4662400,327320,6.06,FL,80,EXEMPT
2016,3512600,327320,6.06,MI,268,PIF
2017,25612900,327320,6.334583333,TX,261,EXEMPT
2018,10630100,327320,6.0542,FL,253,EXEMPT
2019,2551300,327320,8.45625,OR,66,EXEMPT
2020,10000,327320,11.25,TX,11,COMMIT
2012,8476000,327331,5.708333333,MI,120,PIF
2013,4934200,327331,4.958333333,SC,51,EXEMPT
2014,7829700,327331,5.6,NY,103,EXEMPT
2015,7308600,327331,5.424,MI,97,PIF
2016,2275300,327331,5.458333333,CA,56,EXEMPT
2017,7222100,327331,6.05,NY,66,EXEMPT
2018,5400000,327331,7.75,IL,10,EXEMPT
2019,150000,327331,8,CA,3,EXEMPT
2020,2880000,327331,6.75,TX,164,EXEMPT
2012,727200,327332,6.807,TX,36,PIF
2015,125000,327332,4.25,OH,2,EXEMPT
2017,200000,327332,6.5,OH,0,PIF
2012,11775300,327390,5.648,UT,399,PIF
2013,16365404,327390,5.832777778,PA,464,EXEMPT
2014,11019000,327390,6.309545455,TX,245,EXEMPT
2015,20316100,327390,5.514736842,NC,518,PIF
2016,8742100,327390,5.634,TX,317,PIF
2017,10143628,327390,5.648571429,AZ,257,PIF
2018,12004600,327390,7.151578947,ME,385,EXEMPT
2019,8706500,327390,7.666666667,WI,136,EXEMPT
2020,1175000,327390,6.183333333,IN,31,EXEMPT
2012,1300000,327410,5.75,CA,7,PIF
2014,100000,327410,6.25,CA,18,PIF
2015,100000,327410,6.4,TX,5,PIF
2016,100000,327410,6.5,CA,15,CANCLD
2013,1190000,327420,5.45,CA,35,PIF
2015,75000,327420,4.25,NY,2,PIF
2016,125000,327420,7.6,NY,8,PIF
2018,785000,327420,8.625,FL,0,EXEMPT
2019,1350000,327420,7.25,NY,120,EXEMPT
2013,1998900,327910,5.033333333,NM,8,CANCLD
2014,3357500,327910,5.5,CA,52,PIF
2015,410000,327910,5.25,ID,2,PIF
2016,1461000,327910,5.25,FL,9,CANCLD
2017,1207000,327910,7.333333333,NY,23,EXEMPT
2018,50200,327910,6.5,NY,0,EXEMPT
2012,10467000,327991,5.931111111,WI,520,PIF
2013,21611800,327991,5.497096774,AZ,643,PIF
2014,15270200,327991,5.5735,NC,470,PIF
2015,16162600,327991,6.013589744,MN,544,PIF
2016,30702700,327991,6.115714286,FL,753,PIF
2017,13899600,327991,6.178666667,WA,256,EXEMPT
2018,20043600,327991,6.736388889,SC,239,EXEMPT
2019,22476000,327991,7.776511628,FL,354,CANCLD
2020,12160500,327991,6.733888889,WA,139,EXEMPT
2015,5044000,327992,3.916666667,MO,52,PIF
2016,5000,327992,9.5,NM,0,EXEMPT
2017,5850000,327992,5.125,WI,26,EXEMPT
2017,1270000,327993,6.5,MO,5,EXEMPT
2012,187000,327999,6.445,TX,20,PIF
2013,6380700,327999,5.583333333,GA,133,EXEMPT
2014,6050000,327999,5.6875,NJ,90,CANCLD
2015,5489700,327999,4.25,NY,139,CANCLD
2016,4000000,327999,5.625,NJ,4,EXEMPT
2017,2357500,327999,8.618,MA,17,EXEMPT
2018,2000000,327999,7.791666667,MA,25,EXEMPT
2019,1883000,327999,9.013333333,MA,31,EXEMPT
2020,4800000,327999,6.75,IL,80,COMMIT
2013,1360000,331110,5.673333333,IL,4,CHGOFF
2014,5267200,331110,5.935714286,FL,103,CHGOFF
2015,1902400,331110,5.864285714,NV,171,PIF
2016,11237000,331110,6.09375,NY,99,EXEMPT
2017,1059500,331110,6.6,AZ,49,CANCLD
2018,2005000,331110,7.155,TX,85,EXEMPT
2019,2640500,331110,7.125,NY,90,EXEMPT
2020,562000,331110,7.25,NY,8,COMMIT
2012,2580200,331111,6.475555556,GU,51,PIF
2013,170000,331111,6.71,NY,24,PIF
2018,65000,331111,7.09,PA,0,EXEMPT
2012,2619000,331112,6.34,DE,146,PIF
2012,9446400,331210,5.86875,MI,377,PIF
2013,4657500,331210,5.633333333,IN,156,EXEMPT
2014,21527900,331210,5.360555556,CA,724,EXEMPT
2015,10412000,331210,6.16,MN,443,PIF
2016,13787700,331210,5.669444444,OH,179,PIF
2017,9755800,331210,6.133076923,MO,114,EXEMPT
2018,3406500,331210,7.193333333,MO,69,EXEMPT
2019,4859000,331210,7.567142857,MN,75,EXEMPT
2020,5405700,331210,7.034444444,MA,48,EXEMPT
2012,3687000,331221,5.85,OH,200,PIF
2013,7127300,331221,5.248,TX,110,PIF
2014,1711900,331221,4.835555556,GA,74,EXEMPT
2015,1502000,331221,6.298,IN,31,EXEMPT
2016,4785229,331221,5.615454545,NJ,38,CANCLD
2017,3120400,331221,5.728,AZ,11,EXEMPT
2018,6549100,331221,6.782142857,ND,71,PIF
2019,2357100,331221,6.7,OH,65,CANCLD
2020,1494200,331221,5.945,MN,38,EXEMPT
2012,145000,331222,6.25,IL,16,PIF
2013,45000,331222,6.25,IL,8,PIF
2014,330000,331222,6,WI,5,PIF
2017,506000,331222,6.25,AZ,6,EXEMPT
2018,100000,331222,8.29,NJ,4,CANCLD
2012,150000,331311,5.5,OR,26,PIF
2014,346000,331313,6.016666667,CA,10,PIF
2016,1102800,331313,5.19,TX,56,PIF
2017,3916000,331313,6.125,NC,42,PIF
2018,218500,331313,8.375,TX,5,EXEMPT
2019,2309600,331313,8.56,FL,96,EXEMPT
2013,752000,331314,5,CO,13,PIF
2019,50000,331314,11.04,NJ,20,CANCLD
2020,2200000,331314,6.1,AL,10,EXEMPT
2012,318900,331315,7.153333333,NY,25,PIF
2013,2595000,331315,6.125,OH,6,CANCLD
2014,1218700,331315,5.45,OH,11,PIF
2015,516700,331315,5.496666667,CA,4,EXEMPT
2016,2275300,331315,4.575,CA,4,EXEMPT
2017,315000,331315,7.875,NJ,0,EXEMPT
2018,255000,331315,7.833333333,PA,10,EXEMPT
2019,50000,331315,9.5,FL,4,EXEMPT
2020,1750000,331315,6.75,NJ,40,COMMIT
2012,1512500,331316,6.336666667,MN,82,PIF
2013,350000,331316,4.21,OH,21,PIF
2013,2454500,331318,5.25,AL,22,PIF
2014,654000,331318,6,OH,58,PIF
2015,1944800,331318,4.75,CA,7,EXEMPT
2016,4925600,331318,5.116666667,CA,57,EXEMPT
2017,2974200,331318,6.725,VA,0,EXEMPT
2018,3540400,331318,7.25,MI,20,EXEMPT
2019,441700,331318,7.75,WA,40,EXEMPT
2012,417500,331319,5.695,KS,57,PIF
2013,6925000,331410,6,GA,80,PIF
2014,621000,331410,6.625,NC,3,CANCLD
2015,1100000,331410,5.75,OH,5,PIF
2016,1565000,331410,4.77,AZ,35,EXEMPT
2017,4410000,331410,6.333333333,TX,104,EXEMPT
2018,230000,331410,7.8,TX,12,EXEMPT
2019,475000,331410,8.25,TX,5,EXEMPT
2020,4500000,331410,6,AZ,50,EXEMPT
2012,80800,331419,4.875,TX,4,PIF
2014,59500,331420,7.65,NJ,7,PIF
2015,150000,331420,6,MN,6,EXEMPT
2016,92000,331420,5.75,MA,10,EXEMPT
2017,300000,331420,5.57,IN,1,EXEMPT
2019,30000,331420,11.49,AZ,7,PIF
2020,100000,331420,8.39,CT,0,COMMIT
2014,115400,331421,5.75,MA,8,PIF
2012,223000,331491,4.75,MI,0,PIF
2013,3458000,331491,5.65,OH,13,EXEMPT
2014,5881000,331491,5.0625,TX,55,CANCLD
2015,4947000,331491,5.733333333,FL,129,EXEMPT
2016,1208000,331491,6.9375,TX,43,CANCLD
2017,162000,331491,7.485,FL,5,EXEMPT
2018,3294500,331491,6.4075,FL,99,EXEMPT
2019,732300,331491,7.25,MI,25,EXEMPT
2020,68600,331491,5.9,OH,6,EXEMPT
2012,3402700,331492,5.712857143,OH,111,EXEMPT
2013,360000,331492,8,RI,13,PIF
2014,5400000,331492,6.1875,IN,120,PIF
2015,510000,331492,6.466666667,TX,17,PIF
2016,200000,331492,6.09,IN,7,PIF
2017,105000,331492,8.12,WA,0,CANCLD
2018,174700,331492,7.833333333,OH,64,CANCLD
2019,200000,331492,7.25,OH,16,EXEMPT
2012,2226200,331511,5.5625,PA,131,CANCLD
2013,5788000,331511,4.65,PA,117,EXEMPT
2014,225000,331511,6.765,NH,3,PIF
2015,3828500,331511,5.25,MO,67,EXEMPT
2016,150000,331511,5.75,KS,26,PIF
2017,235000,331511,6.25,NY,2,EXEMPT
2019,625800,331511,7.083333333,TX,9,EXEMPT
2020,1850000,331511,7.5,IA,6,COMMIT
2012,350000,331512,6,PA,28,PIF
2013,1444800,331512,5.44,WI,28,EXEMPT
2015,2205000,331512,6,OH,0,PIF
2012,2721500,331513,5.5,OH,23,PIF
2013,2399000,331513,5.583333333,WA,65,PIF
2014,2610000,331513,6.61,CO,110,EXEMPT
2015,150000,331513,6,MI,4,PIF
2016,150000,331513,5.75,WI,38,EXEMPT
2017,500000,331513,5.5,MI,61,PIF
2018,1146800,331513,5.6,WI,2,EXEMPT
2012,3899900,331521,5.778571429,OH,350,PIF
2013,1547200,331521,5.95,CO,223,PIF
2012,150000,331522,5.5,WI,10,EXEMPT
2013,1800000,331522,6,IL,147,EXEMPT
2014,2096500,331523,6.63,NJ,90,EXEMPT
2015,3819000,331523,4.758333333,PA,289,CANCLD
2016,2476000,331523,6.6,TX,37,EXEMPT
2017,2250000,331523,6.733333333,TX,20,CANCLD
2018,2450000,331523,6.375,OH,64,EXEMPT
2019,2067300,331523,5.95,NJ,30,EXEMPT
2020,150000,331523,6.75,OH,5,CANCLD
2012,100000,331524,4.25,CT,20,PIF
2013,472000,331524,5.5,TX,11,EXEMPT
2014,4476177,331524,5.65,GA,99,EXEMPT
2015,472200,331524,5.625,WI,27,PIF
2016,244300,331524,7,TX,20,EXEMPT
2017,7796600,331524,6.123333333,MN,298,EXEMPT
2018,150000,331524,7.25,UT,9,EXEMPT
2020,1278000,331524,6.5,TX,16,EXEMPT
2013,425100,331529,5.825,MN,59,EXEMPT
2014,25000,331529,5.5,CA,2,CHGOFF
2015,100000,331529,6.05,MI,1,PIF
2016,1280000,331529,6.511666667,CO,101,EXEMPT
2017,350000,331529,8,NV,7,CANCLD
2018,150000,331529,5.75,RI,15,EXEMPT
2012,7213300,332111,5.93,ID,191,PIF
2013,5537271,332111,5.884615385,OH,91,PIF
2014,560000,332111,5.584285714,IN,23,PIF
2015,5692400,332111,6.092857143,PA,162,PIF
2016,11761500,332111,5.865,MT,163,EXEMPT
2017,3853600,332111,6.6525,MI,149,PIF
2018,175000,332111,5.75,NJ,19,PIF
2019,227000,332111,7.55,NM,0,CANCLD
2020,4236600,332111,6.424,MI,97,EXEMPT
2014,862800,332112,5.5,FL,28,PIF
2015,3156000,332112,5.5,TX,98,PIF
2016,50000,332112,5.25,OH,0,EXEMPT
2012,2933000,332114,4.666666667,WI,0,PIF
2013,422000,332114,5,WI,0,PIF
2014,3232700,332114,5.166666667,NJ,81,PIF
2015,450000,332114,5,WI,0,CANCLD
2016,400000,332114,5.5,IN,36,PIF
2018,3411700,332114,5.906666667,MI,56,COMMIT
2019,100000,332114,5.5,KY,8,EXEMPT
2020,795000,332114,7,MI,0,EXEMPT
2012,10906900,332116,5.445238095,MI,465,PIF
2013,3732600,332116,5.65625,RI,147,CHGOFF
2014,578600,332116,4.5,ID,2,EXEMPT
2012,25000,332117,9.75,PA,2,CHGOFF
2013,1679700,332117,6.51,CA,50,EXEMPT
2014,1700000,332117,4.5,IN,72,EXEMPT
2015,140000,332117,5.5,PA,5,CANCLD
2016,350000,332117,5.5,PA,20,PIF
2017,441600,332117,4.5,AZ,0,EXEMPT
2020,150000,332117,9.25,OH,11,EXEMPT
2012,50000,332119,4.75,WI,0,EXEMPT
2013,2827000,332119,5.344,TX,69,CANCLD
2014,6925500,332119,5.435714286,WI,88,PIF
2015,8419000,332119,5.622142857,IL,275,PIF
2016,5736400,332119,5.085,WI,349,CANCLD
2017,7190900,332119,5.988,OH,177,EXEMPT
2018,2976100,332119,6.693181818,IN,26,EXEMPT
2019,2288000,332119,7.357142857,IL,126,EXEMPT
2020,1213000,332119,6.175,MA,2,EXEMPT
2013,2055000,332211,6,MA,77,CHGOFF
2014,501300,332211,5.95,CA,10,PIF
2012,4430700,332212,4.875555556,NM,335,PIF
2013,1937000,332212,4.7525,FL,71,PIF
2012,640000,332213,7.455,AZ,22,PIF
2012,30000,332214,2.99,MA,3,PIF
2013,75800,332214,7.25,WA,0,PIF
2015,504900,332215,6.528,TX,10,PIF
2016,1803500,332215,6.34375,NY,69,CANCLD
2017,1112000,332215,6.17,MA,19,PIF
2018,483400,332215,7.1225,MT,9,EXEMPT
2019,482000,332215,8.75,MN,22,EXEMPT
2020,1230000,332215,7.466666667,CA,14,EXEMPT
2013,6078000,332216,5.805555556,OH,102,PIF
2014,5778400,332216,6.322307692,OH,147,PIF
2015,5259600,332216,5.9825,MI,124,CHGOFF
2016,1740000,332216,6.166666667,WI,54,EXEMPT
2017,5502000,332216,5.33125,CA,216,EXEMPT
2018,2363500,332216,7.553333333,MO,34,CANCLD
2019,372000,332216,7.05,CT,25,PIF
2020,1461000,332216,5.996666667,CT,29,EXEMPT
2012,7341900,332311,6.502666667,NM,199,EXEMPT
2013,11019000,332311,5.61875,NC,305,PIF
2014,9949900,332311,5.45,TN,398,EXEMPT
2015,13257000,332311,5.428571429,NC,397,PIF
2016,11701700,332311,5.7625,LA,238,EXEMPT
2017,2631100,332311,6.175,PA,107,EXEMPT
2018,12683900,332311,6.135454545,OH,165,EXEMPT
2019,7070500,332311,7.588571429,VA,112,EXEMPT
2020,4397200,332311,6.26,NJ,131,EXEMPT
2012,21488100,332312,6.03212,TX,1110,CANCLD
2013,26428200,332312,5.776730769,TX,888,CANCLD
2014,41905400,332312,5.948064516,TX,1100,PIF
2015,31184700,332312,5.963076923,GA,1237,PIF
2016,35342600,332312,6.194339623,GA,983,PIF
2017,35091800,332312,6.412459016,PA,753,EXEMPT
2018,36747100,332312,6.864745763,CA,806,EXEMPT
2019,31587800,332312,7.393043478,IN,564,PIF
2020,12135800,332312,7.6435,FL,162,EXEMPT
2012,11706800,332313,5.887777778,MN,376,PIF
2013,11307800,332313,5.659090909,MO,429,PIF
2014,10356300,332313,6.433684211,UT,224,PIF
2015,4778400,332313,5.115714286,UT,454,EXEMPT
2016,8567800,332313,6.4875,WA,150,EXEMPT
2017,6942000,332313,6.277142857,MO,176,EXEMPT
2018,8548000,332313,7.003636364,WI,101,PIF
2019,6225900,332313,7.682142857,OH,108,COMMIT
2020,5722900,332313,6.74375,ID,86,COMMIT
2012,2309200,332321,5.875,NY,175,EXEMPT
2013,10725000,332321,6.556666667,CA,379,CANCLD
2014,6933800,332321,6.285833333,IN,196,PIF
2015,6881800,332321,5.936363636,NV,253,EXEMPT
2016,4815900,332321,5.673333333,CA,379,PIF
2017,7033700,332321,6.452857143,LA,177,EXEMPT
2018,6275000,332321,7.343636364,OH,244,PIF
2019,12530600,332321,7.67,UT,234,EXEMPT
2020,2335100,332321,7.399,PR,89,COMMIT
2012,11931500,332322,5.662258065,NJ,697,PIF
2013,11724200,332322,5.591633333,IN,676,PIF
2014,23469100,332322,5.683833333,TX,962,EXEMPT
2015,25606700,332322,5.567159091,OH,798,PIF
2016,21462700,332322,5.968666667,MI,690,EXEMPT
2017,17799700,332322,6.390909091,NY,594,EXEMPT
2018,38332100,332322,6.541219512,CA,935,EXEMPT
2019,30610200,332322,7.186774194,MA,511,EXEMPT
2020,6932800,332322,5.999,NJ,228,EXEMPT
2012,5453300,332323,6.044090909,ID,181,EXEMPT
2013,14073900,332323,5.988064516,NY,411,PIF
2014,11725374,332323,5.955882353,AL,315,EXEMPT
2015,9376400,332323,5.520526316,CA,157,EXEMPT
2016,9762000,332323,6.508636364,TX,190,PIF
2017,10223800,332323,6.274285714,TX,239,PIF
2018,19203200,332323,6.341875,CA,199,EXEMPT
2019,8454300,332323,7.1525,OH,136,EXEMPT
2020,6107900,332323,7.946153846,CA,83,EXEMPT
2012,260000,332410,5.75,IL,15,PIF
2013,600000,332410,6.375,TX,48,PIF
2014,472000,332410,6.25,OH,0,EXEMPT
2015,1292000,332410,6.25,TX,50,EXEMPT
